Date,Symbol,Series,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,"Turnover (in Lakhs):""08-Nov-2021""",HINDUNILVR,EQ
"	",,,,,,,,,,,
,,,,,,,,,,,
Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs),,
28/09/2021, HINDUNILVR, EQ,2725,2754.45,2709.9,2725.8,2723.85,1078052,29398.17,,
27/09/2021, HINDUNILVR, EQ,2765,2765,2704.5,2718,2709.5,1465932,39944.98,,
24/09/2021, HINDUNILVR, EQ,2770.1,2780,2731.4,2748.2,2746.65,1635284,44986.9,,
23/09/2021, HINDUNILVR, EQ,2799,2817.7,2772.85,2782,2782.3,1054473,29452.25,,
22/09/2021, HINDUNILVR, EQ,2827.9,2839.9,2774,2785.55,2784.5,1580594,44140.28,,
21/09/2021, HINDUNILVR, EQ,2810,2859.3,2796.65,2807.95,2812.45,2277437,64509.15,,
20/09/2021, HINDUNILVR, EQ,2720,2809,2710.05,2800.6,2800.35,2671330,74506.43,,
17/09/2021, HINDUNILVR, EQ,2770.1,2783,2699,2739,2722.25,3095032,84615.39,,
16/09/2021, HINDUNILVR, EQ,2752,2797.3,2752,2762.95,2768.25,1259196,34964.76,,
15/09/2021, HINDUNILVR, EQ,2774,2785,2749.05,2777,2775.45,1362350,37662.59,,
14/09/2021, HINDUNILVR, EQ,2802,2804,2751.05,2764.45,2762.55,1755061,48554.44,,
13/09/2021, HINDUNILVR, EQ,2797.5,2822.45,2775,2787,2786.35,1341412,37445.54,,
09/09/2021, HINDUNILVR, EQ,2782,2823.65,2782,2805,2810.65,879454,24705.27,,
08/09/2021, HINDUNILVR, EQ,2788.9,2810,2765.1,2800,2800.9,946711,26407.54,,
07/09/2021, HINDUNILVR, EQ,2788.6,2808.7,2770,2774,2777.7,1219915,34012.05,,
06/09/2021, HINDUNILVR, EQ,2790,2825,2775.3,2780,2780.6,1444978,40301.16,,
03/09/2021, HINDUNILVR, EQ,2802.2,2808.75,2756,2772,2766.7,1561823,43265.24,,
02/09/2021, HINDUNILVR, EQ,2748,2810,2730.15,2801.1,2801.05,1946183,54319.17,,
01/09/2021, HINDUNILVR, EQ,2745,2775,2715,2721.1,2732.9,1775792,48825.16,,
31/08/2021, HINDUNILVR, EQ,2687.9,2737.45,2675.65,2720,2724.1,2535891,68763.85,,
30/08/2021, HINDUNILVR, EQ,2691.6,2705.75,2671.6,2683,2687.7,1168190,31362.51,,
27/08/2021, HINDUNILVR, EQ,2669,2690,2651.1,2676.05,2677.95,1176229,31466.4,,
26/08/2021, HINDUNILVR, EQ,2631,2697.8,2631,2657.2,2666.4,2117291,56502.4,,
25/08/2021, HINDUNILVR, EQ,2632,2666.45,2620.65,2644,2645,1746570,46188.27,,
24/08/2021, HINDUNILVR, EQ,2634,2658,2610,2617.85,2633,1482854,38998.79,,
23/08/2021, HINDUNILVR, EQ,2625,2672.85,2594.5,2628.1,2634.15,2163220,56847.88,,
20/08/2021, HINDUNILVR, EQ,2490,2630,2476,2606.9,2619.4,5779927,148819.45,,
18/08/2021, HINDUNILVR, EQ,2485,2500,2454,2485.65,2486.05,1545643,38408.11,,
17/08/2021, HINDUNILVR, EQ,2433,2487.45,2431.05,2484.9,2483.8,1921902,47382.49,,
16/08/2021, HINDUNILVR, EQ,2404,2436.85,2392.65,2423,2426.4,1146309,27757.59,,
13/08/2021, HINDUNILVR, EQ,2401,2409.65,2388,2399.35,2404.5,1033159,24814.23,,
12/08/2021, HINDUNILVR, EQ,2395,2413.5,2377.45,2395,2392.3,1226064,29364.69,,
11/08/2021, HINDUNILVR, EQ,2390,2395,2362.2,2395,2390.45,1300594,30915.36,,
10/08/2021, HINDUNILVR, EQ,2394,2394,2359.1,2388,2381.8,1061370,25196.64,,
09/08/2021, HINDUNILVR, EQ,2379.45,2395,2374.85,2382.75,2384.5,921476,21977.74,,
